Source;Target;Label;Weight
42;206;Node_42_to_206;0.993453
46;206;Node_46_to_206;0.985685
57;206;Node_57_to_206;0.98986
70;206;Node_70_to_206;0.98998
107;206;Node_107_to_206;0.992083
111;206;Node_111_to_206;0.992423
115;206;Node_115_to_206;0.990002
121;206;Node_121_to_206;0.990821
141;206;Node_141_to_206;0.990919
148;206;Node_148_to_206;0.990404
165;206;Node_165_to_206;0.995295
97;207;Node_97_to_207;0.980514
52;209;Node_52_to_209;0.985786
81;209;Node_81_to_209;0.98782
86;209;Node_86_to_209;0.988495
90;209;Node_90_to_209;0.987464
120;209;Node_120_to_209;0.985702
121;209;Node_121_to_209;0.992807
200;209;Node_200_to_209;0.987921
2;210;Node_2_to_210;0.993632
63;210;Node_63_to_210;0.989147
81;210;Node_81_to_210;0.998738
90;210;Node_90_to_210;0.98872
115;210;Node_115_to_210;0.989792
119;210;Node_119_to_210;0.997309
149;210;Node_149_to_210;0.988142
12;212;Node_12_to_212;0.993732
63;213;Node_63_to_213;0.989428
66;213;Node_66_to_213;0.993418
81;213;Node_81_to_213;0.991382
90;213;Node_90_to_213;0.994577
93;213;Node_93_to_213;0.990509
166;213;Node_166_to_213;0.987896
139;214;Node_139_to_214;0.987763
84;215;Node_84_to_215;0.988271
185;215;Node_185_to_215;0.989536
186;215;Node_186_to_215;0.986232
64;216;Node_64_to_216;0.993074
95;216;Node_95_to_216;0.992731
130;216;Node_130_to_216;0.998316
156;216;Node_156_to_216;0.996346
159;216;Node_159_to_216;0.989303
161;216;Node_161_to_216;0.998828
177;216;Node_177_to_216;0.991882
85;217;Node_85_to_217;0.993735
196;217;Node_196_to_217;0.994845
127;218;Node_127_to_218;0.99235
25;221;Node_25_to_221;0.987526
33;221;Node_33_to_221;0.990849
42;221;Node_42_to_221;0.989564
88;221;Node_88_to_221;0.98622
91;221;Node_91_to_221;0.982316
107;221;Node_107_to_221;0.994996
111;221;Node_111_to_221;0.991786
119;221;Node_119_to_221;0.989879
121;221;Node_121_to_221;0.99251
141;221;Node_141_to_221;0.986423
145;221;Node_145_to_221;0.987825
206;221;Node_206_to_221;0.997553
2;222;Node_2_to_222;0.987603
66;222;Node_66_to_222;0.995354
81;222;Node_81_to_222;0.995503
82;222;Node_82_to_222;0.990329
90;222;Node_90_to_222;0.987851
119;222;Node_119_to_222;0.996928
143;222;Node_143_to_222;0.9979
148;222;Node_148_to_222;0.990927
165;222;Node_165_to_222;0.990144
166;222;Node_166_to_222;0.986019
199;222;Node_199_to_222;0.988506
210;222;Node_210_to_222;0.994675
30;223;Node_30_to_223;0.992585
75;225;Node_75_to_225;0.989054
126;225;Node_126_to_225;0.991017
184;225;Node_184_to_225;0.990048
12;226;Node_12_to_226;0.990551
24;226;Node_24_to_226;0.996893
34;226;Node_34_to_226;0.993808
64;226;Node_64_to_226;0.994151
78;226;Node_78_to_226;0.988255
100;226;Node_100_to_226;0.99046
126;226;Node_126_to_226;0.988558
127;226;Node_127_to_226;0.994505
128;226;Node_128_to_226;0.99584
168;226;Node_168_to_226;0.992344
171;226;Node_171_to_226;0.998768
178;226;Node_178_to_226;0.985687
180;226;Node_180_to_226;0.990186
204;226;Node_204_to_226;0.998644
73;227;Node_73_to_227;0.989813
155;227;Node_155_to_227;0.988307
50;228;Node_50_to_228;0.992415
64;228;Node_64_to_228;0.997197
123;228;Node_123_to_228;0.988735
127;228;Node_127_to_228;0.991275
204;228;Node_204_to_228;0.995671
226;228;Node_226_to_228;0.993328
9;230;Node_9_to_230;0.994804
27;230;Node_27_to_230;0.998467
28;230;Node_28_to_230;0.994684
58;230;Node_58_to_230;0.989002
60;230;Node_60_to_230;0.998889
69;230;Node_69_to_230;0.997414
74;230;Node_74_to_230;0.988485
75;230;Node_75_to_230;0.997193
80;230;Node_80_to_230;0.993993
100;230;Node_100_to_230;0.994428
114;230;Node_114_to_230;0.997164
126;230;Node_126_to_230;0.99782
134;230;Node_134_to_230;0.988433
173;230;Node_173_to_230;0.998291
178;230;Node_178_to_230;0.989507
189;230;Node_189_to_230;0.99857
64;231;Node_64_to_231;0.997984
66;231;Node_66_to_231;0.986874
95;231;Node_95_to_231;0.992202
123;231;Node_123_to_231;0.995837
127;231;Node_127_to_231;0.994881
130;231;Node_130_to_231;0.996182
152;231;Node_152_to_231;0.98789
159;231;Node_159_to_231;0.989027
168;231;Node_168_to_231;0.987939
228;231;Node_228_to_231;0.991309
98;232;Node_98_to_232;0.98888
143;232;Node_143_to_232;0.99702
148;232;Node_148_to_232;0.992852
150;232;Node_150_to_232;0.994475
185;232;Node_185_to_232;0.994348
222;232;Node_222_to_232;0.993091
9;233;Node_9_to_233;0.999368
12;233;Node_12_to_233;0.988919
14;233;Node_14_to_233;0.985831
24;233;Node_24_to_233;0.996789
27;233;Node_27_to_233;0.999072
28;233;Node_28_to_233;0.988114
34;233;Node_34_to_233;0.99014
60;233;Node_60_to_233;0.998522
62;233;Node_62_to_233;0.988378
64;233;Node_64_to_233;0.995355
67;233;Node_67_to_233;0.996541
69;233;Node_69_to_233;0.996099
73;233;Node_73_to_233;0.99446
75;233;Node_75_to_233;0.999353
