Id;Label;AltLabel;color
241;Rooney Sally;Node_alt_241;#79C074
242;Rosoff Meg;Node_alt_242;#79C074
243;Roth Philip;Node_alt_243;#ED6869
244;Rowell Rainbow;Node_alt_244;#79C074
245;Rowling JK;Node_alt_245;#79C074
246;Rushdie Salman;Node_alt_246;#ED6869
247;Sacks Oliver;Node_alt_247;#ED6869
248;Sagan Françoise;Node_alt_248;#79C074
249;Salinger JD;Node_alt_249;#ED6869
250;Saramago Josè;Node_alt_250;#ED6869
251;Saunders George;Node_alt_251;#ED6869
252;Saviano Roberto;Node_alt_252;#ED6869
253;Schnitzler Arthur;Node_alt_253;#ED6869
254;Scott Walter;Node_alt_254;#ED6869
255;Sebald Winfried Georg;Node_alt_255;#ED6869
256;Sebold Alice;Node_alt_256;#79C074
257;Sedaris David;Node_alt_257;#ED6869
258;Simenon Georges;Node_alt_258;#ED6869
259;Skloot Rebecca;Node_alt_259;#79C074
260;Smith Martin Cruz;Node_alt_260;#ED6869
261;Solzhenitsyn Aleksandr;Node_alt_261;#ED6869
262;Sōseki Natsume;Node_alt_262;#ED6869
263;Sparks Nicholas;Node_alt_263;#ED6869
264;Stefansson Jón Kalman;Node_alt_264;#ED6869
265;Steinbeck John;Node_alt_265;#ED6869
266;Stendhal Marie-Henri;Node_alt_266;#ED6869
267;Stevenson Robert Louis;Node_alt_267;#ED6869
268;Stoker Bram;Node_alt_268;#ED6869
269;Stroud Carsten;Node_alt_269;#ED6869
270;Strout Elizabeth;Node_alt_270;#79C074
271;Süskind Patrick;Node_alt_271;#ED6869
272;Svevo Italo;Node_alt_272;#ED6869
273;Swift Jonathan;Node_alt_273;#ED6869
274;Szabó Magda;Node_alt_274;#79C074
275;Tabucchi Antonio;Node_alt_275;#ED6869
276;Takami Koushun;Node_alt_276;#ED6869
277;Tartt Donna;Node_alt_277;#79C074
278;Taylor Laini;Node_alt_278;#79C074
279;Thackeray William Makepeace;Node_alt_279;#ED6869
280;Thomas Scarlett;Node_alt_280;#79C074
281;Thompson Harry;Node_alt_281;#ED6869
282;Thoreau Henry David;Node_alt_282;#ED6869
283;Tokarczuk Olga;Node_alt_283;#79C074
284;Tolkien JRR;Node_alt_284;#ED6869
285;Tolstoy Leo;Node_alt_285;#ED6869
286;Turgenev Ivan;Node_alt_286;#ED6869
287;Twain Mark;Node_alt_287;#ED6869
288;Uhlman Fred;Node_alt_288;#ED6869
289;Vargas Fred;Node_alt_289;#79C074
290;Verne Jules;Node_alt_290;#ED6869
291;Vian Boris;Node_alt_291;#ED6869
292;Vila-Matas Enrique;Node_alt_292;#ED6869
293;Vinci Simona;Node_alt_293;#79C074
294;Vonnegut Kurt;Node_alt_294;#ED6869
295;de Waal Edmund;Node_alt_295;#ED6869
296;Walker Alice;Node_alt_296;#79C074
