Id;Label;AltLabel;sex;historical_period;continent;translated;nobel;all_prizes
718;de Roberto Federico;Node_alt_718;0;1894;1;1;0;0
719;Döblin Alfred;Node_alt_719;0;1929;1;1;0;0
720;Doctorow EL;Node_alt_720;0;1975;2;0;0;0
721;Doerr Anthony;Node_alt_721;0;2009;2;0;0;1
722;Donleavy JP;Node_alt_722;0;1955;2;0;0;0
723;Douglass Frederick;Node_alt_723;0;1855;2;0;0;0
724;Doxiadis Apostolos;Node_alt_724;0;1992;1;1;0;0
725;Doyle Roddy;Node_alt_725;0;2002;1;0;0;1
726;Edgeworth Maria;Node_alt_726;1;1808;1;0;0;0
727;Ellison Ralph;Node_alt_727;0;1952;2;0;0;1
728;Emecheta Buchi;Node_alt_728;1;1974;5;0;0;0
729;Ende Michael;Node_alt_729;0;1976;1;1;0;0
730;Evans Nicholas;Node_alt_730;0;1997;1;0;0;0
731;Evaristo Bernardine;Node_alt_731;1;2019;1;0;0;1
732;Fallaci Oriana;Node_alt_732;1;1975;1;1;0;0
733;Farrell James Gordon;Node_alt_733;0;1972;1;0;0;1
734;Faye Gaël;Node_alt_734;0;2016;5;1;0;0
735;Feiyu Bi;Node_alt_735;0;2002;4;1;0;0
736;Melchor Fernanda;Node_alt_736;1;2017;3;1;0;1
737;Fielding Henry;Node_alt_737;0;1747;1;0;0;0
738;Fitch Janet;Node_alt_738;1;1999;2;0;0;0
739;Fitzgerald Penelope;Node_alt_739;1;1979;1;0;0;1
740;Fontane Theodor;Node_alt_740;0;1895;1;1;0;0
741;Forster Edward Morgan;Node_alt_741;0;1924;1;0;0;0
742;Forsyth Frederick;Node_alt_742;0;1978;1;0;0;0
743;Fowles John;Node_alt_743;0;1971;1;0;0;1
744;Freeman Ru;Node_alt_744;1;2011;4;0;0;0
745;Frey James;Node_alt_745;0;2004;2;0;0;0
746;Gaarder Jostein;Node_alt_746;0;1997;1;1;0;0
747;Gaddis William;Node_alt_747;0;1975;2;0;0;1
748;Galdos Benito Perez;Node_alt_748;0;1897;1;1;0;0
749;Gardner Erle Stanley;Node_alt_749;0;1933;2;0;0;0
750;Gaskell Elizabeth;Node_alt_750;1;1858;1;0;0;0
751;Genet Jean;Node_alt_751;0;1946;1;1;0;0
752;Glasgow Ellen;Node_alt_752;1;1941;2;0;0;1
