Id;Label;AltLabel;sex;historical_period;continent;translated;nobel;all_prizes
1348;Cook Diane;Node_alt_1348;1;2020;2;0;0;1
1349;Marquand John;Node_alt_1349;0;1937;2;0;0;1
1350;Agee James;Node_alt_1350;0;1957;2;0;0;1
1351;Porter Katherine;Node_alt_1351;1;1965;2;0;0;1
1352;Stafford Jean;Node_alt_1352;1;1969;2;0;0;1
1353;McPherson James;Node_alt_1353;0;1977;2;0;0;1
1354;Butler Robert;Node_alt_1354;0;1992;2;0;0;1
1355;Egan Jennifer;Node_alt_1355;1;2010;2;0;0;1
1356;Erdrich Louise;Node_alt_1356;1;2020;2;0;0;1
1357;Škvorecký Josef;Node_alt_1357;0;1958;1;1;0;1
1358;Frisch Max;Node_alt_1358;0;1954;1;1;0;1
1359;Rao Raja;Node_alt_1359;0;1965;4;0;0;1
1360;Ugrešić Dubravka;Node_alt_1360;1;2004;1;1;0;1
1361;Michon Pierre;Node_alt_1361;0;1984;1;1;0;1
1362;Magris Claudio;Node_alt_1362;0;1991;1;1;0;1
1363;Lustig Arnošt;Node_alt_1363;0;2000;1;1;0;1
1364;Nádas Péter;Node_alt_1364;0;2005;1;1;0;1
1365;Klíma Ivan;Node_alt_1365;0;1986;1;1;0;1
